Month,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10
06/01/2018 08:00,0.127128262,0.133488103,0.000827107,0.022646318,1.082716573,2.377727607,0.008144944,0.000272206,0.098645247,0.432272977
06/01/2018 09:00,0.185260038,0.147583283,0.005099368,0.022895801,1.159546166,2.402010186,0.011311498,0.000257713,0.095935259,0.443017129
06/01/2018 10:00,0.173013289,0.132399816,0.001363013,0.024318382,1.115768295,2.24786902,0.011681954,0.003144284,0.11792595,0.551539845
06/01/2018 11:00,0.167216832,0.23085406,0.009560532,0.026414032,1.049881296,2.245378191,0.007840072,0.007192479,0.075770576,0.533582229
06/01/2018 12:00,0.187396208,0.17108653,0.000772314,0.022596807,1.377471883,1.874866121,0.007943593,0.001689711,0.068441367,0.657901071
06/01/2018 13:00,0.182473802,0.161170888,0.000605254,0.02168071,1.455774842,1.462418034,0.00733781,0.000284143,0.074141859,0.58355249
06/01/2018 14:00,0.161312072,0.19388806,0.004783216,0.024023281,1.704394209,1.589463063,0.011274325,0.000264906,0.074920151,0.484449499
06/01/2018 15:00,0.31402473,0.264717659,0.000545202,0.022176029,1.729306692,1.243292239,0.008693315,0.014334105,0.08820684,0.492925116
06/01/2018 16:00,0.145390917,0.123089593,0.004526326,0.02209875,1.693267633,1.115698134,0.00684886,0.000512007,0.33510621,0.444300379
06/01/2018 17:00,0.16637539,0.146167743,0.000634302,0.022967206,1.986236069,1.079246178,0.006824446,0.000399591,0.263960953,0.454664814
06/01/2018 18:00,0.175065229,0.154675117,0.001602472,0.031414857,1.446885021,1.32914197,0.011706628,0.003328737,0.104465317,0.492102048
06/01/2018 19:00,0.166291258,0.232753506,0.003374623,0.027038944,1.043402568,1.201548044,0.009713106,0.000430433,0.09039438,0.522125246
06/01/2018 20:00,0.198178078,0.188162282,0.001042857,0.027109506,1.301525813,1.741633984,0.006813459,0.011426176,0.115008041,0.540877345
06/01/2018 21:00,0.148377923,0.292761044,0.000986318,0.023130802,1.156386771,1.665863048,0.006858131,0.002703291,0.200770428,0.570293297
06/01/2018 22:00,0.126520043,0.085786321,0.000787656,0.023119724,1.258179624,1.098538728,0.007430097,0.000388278,0.172244946,0.553192628
06/01/2018 23:00,0.131385825,0.106989481,0.004447324,0.024496382,1.033992246,1.154698526,0.013058441,0.001748728,0.226339122,0.487833344
07/01/2018 00:00,0.169399684,0.11171762,0.001721835,0.024196583,1.791664364,1.186674371,0.008087506,0.001776113,0.157757218,0.539008272
07/01/2018 01:00,0.114057118,0.128126851,0.000654894,0.023469699,1.823487687,1.33014242,0.016894149,0.005796322,0.107266192,0.572419987
07/01/2018 02:00,0.156404702,0.244923818,0.001143445,0.026060266,2.039797379,1.335342694,0.009409647,0.000323953,0.132404599,0.63785705
07/01/2018 03:00,0.184121933,0.180821943,0.004429311,0.027830959,1.986516478,1.256809215,0.011837778,0.000349183,0.094671558,0.673377485
07/01/2018 04:00,0.117702918,0.154539093,0.000715387,0.026020334,1.89846773,0.966824341,0.007097186,0.000287789,0.125054563,0.644838141
07/01/2018 05:00,0.141169439,0.148262422,0.001440658,0.023860563,1.849297727,1.2589742,0.006746078,0.001687031,0.090303976,0.549645996
07/01/2018 06:00,0.105508375,0.199085428,0.008973383,0.023830301,1.900787895,1.114498711,0.011774858,0.010962454,0.130990727,0.53336752
07/01/2018 07:00,0.112636152,0.114510098,0.000564894,0.023615028,1.802959166,1.168954482,0.006725903,0.005735897,0.128395229,0.554829047
07/01/2018 08:00,0.135581323,0.12245167,0.000446787,0.027235911,1.832803799,1.277323146,0.01299299,0.000247886,0.124961844,0.512747358
07/01/2018 09:00,0.284799813,0.1512532,0.004549841,0.022515015,1.015975955,0.972469982,0.006790618,0.005734211,0.097676878,0.539504592
07/01/2018 10:00,0.124833541,0.11811238,0.004580257,0.027362731,0.970088693,1.022202039,0.006790347,0.000220757,0.357250571,0.555672241
07/01/2018 11:00,0.147825554,0.167823273,0.000876968,0.023240214,1.01096265,1.072720467,0.0067717,0.002597975,0.287131844,0.540564952
07/01/2018 12:00,0.134698578,0.294308385,0.000416903,0.022190351,0.961836169,0.984532637,0.006634227,0.003086494,0.285721543,0.485494503
07/01/2018 13:00,0.302869257,0.135777108,0.000333643,0.022141321,0.971951384,1.019413191,0.006608161,0.000334193,0.282839903,0.508123049
07/01/2018 14:00,0.175243256,0.116529782,0.000394315,0.031973231,0.836474752,1.02504805,0.006781713,0.000275329,0.292498102,0.491511936
07/01/2018 15:00,0.155468428,0.136014245,0.002608159,0.022976138,0.883488966,1.14873117,0.007078822,0.011451501,0.182895246,0.539544663
07/01/2018 16:00,0.148503814,0.257103011,0.0005719,0.025895848,0.874647243,1.111082865,0.012179597,0.000378956,0.273410526,0.559824591
07/01/2018 17:00,0.167057591,0.115772567,0.000651587,0.022418125,0.905198263,1.112221639,0.007401277,0.000307513,0.188954347,0.529348609
07/01/2018 18:00,0.139550565,0.117578016,0.001280743,0.023141831,1.036076448,0.963322495,0.012232923,0.005474715,0.210646795,0.444265065
07/01/2018 19:00,0.173345544,0.211550303,0.000642293,0.022357697,1.17764971,0.98791999,0.010491045,0.001002119,0.19307087,0.509687793
07/01/2018 20:00,0.154395817,0.259690949,0.005330979,0.023515793,1.002267006,0.843440013,0.007644572,0.000336571,0.213196435,0.460858949
07/01/2018 21:00,0.148886375,0.12789563,0.000741992,0.023321417,0.986519681,0.98346074,0.011118447,0.000459995,0.229461077,0.433392692
07/01/2018 22:00,0.172190418,0.147319558,0.008834212,0.024531179,0.977523203,1.269428329,0.007588372,0.000329843,0.298149642,0.538820827
07/01/2018 23:00,0.288421279,0.196739326,0.00068916,0.026407185,1.568548699,1.035718044,0.01267702,0.00586582,0.180024836,0.532039138
08/01/2018 00:00,0.149423984,0.183650545,0.001082328,0.028389085,1.704068255,1.070350009,0.007446024,0.00990229,0.178058798,0.51297509
08/01/2018 01:00,0.160958062,0.118470234,0.000578883,0.024549549,1.781398332,1.003185774,0.011768852,0.007296702,0.132581917,0.508828561
08/01/2018 02:00,0.130494677,0.140527701,0.000965947,0.023643422,1.824941624,1.051885945,0.007447144,0.00034774,0.154489717,0.531570244
08/01/2018 03:00,0.223262164,0.158800876,0.001444524,0.023842389,1.834692527,1.064665447,0.008929334,0.002880041,0.430142881,0.53545088
08/01/2018 04:00,0.114632363,0.196930073,0.005339435,0.023280086,1.648998091,0.971020399,0.011550629,0.000390757,0.365977387,0.468555775
08/01/2018 05:00,0.136365269,0.607055601,0.001135295,0.026715645,2.039504317,1.668116614,0.00885104,0.001820706,0.340628005,0.5237436
08/01/2018 06:00,0.492796745,0.128937041,0.001664732,0.026676222,2.00029751,2.103113962,0.013284585,0.003207564,0.32477938,0.533411156
08/01/2018 07:00,0.598993525,0.096163747,0.004308485,0.028982117,2.108891732,1.75790214,0.017483367,0.007815355,0.591887102,0.399880099
08/01/2018 08:00,0.141864085,0.093991104,0.001132286,0.023109378,1.186126807,1.674977733,0.007368221,0.000263648,0.935662359,0.250439812
08/01/2018 09:00,0.143889398,0.09357874,0.001224725,0.023694724,1.278344417,1.808098477,0.007337448,0.005768312,0.594116067,0.262493722
08/01/2018 10:00,0.115771971,0.200029103,0.004884358,0.023666517,1.219791985,1.28981285,0.007410114,0.000258301,0.732251966,0.369335515
08/01/2018 11:00,0.177911143,0.280576348,0.00075875,0.026821086,1.043264389,1.333690947,0.007531126,0.000283971,0.63912978,0.397024035
08/01/2018 12:00,0.429338829,0.600447954,0.000905782,0.023666982,0.97775144,1.228297527,0.007533119,0.008707928,0.588930837,0.505126425
08/01/2018 13:00,1.045707244,1.235353099,0.005843162,0.028489992,0.877283552,1.412448848,0.007606101,0.000538029,0.643533754,0.571522038
08/01/2018 14:00,0.764541723,1.158120508,0.004577115,0.025737999,0.81521414,1.562846893,0.008633147,0.001419876,0.471033868,0.557241026
08/01/2018 15:00,0.894603426,0.675862008,0.006091227,0.027859217,1.01639444,1.531696909,0.009333726,0.007487443,0.572584264,0.547988065
08/01/2018 16:00,1.113157511,0.545083368,0.004444017,0.027124028,1.075015683,1.545008033,0.011000169,0.004702492,1.833711023,0.448685261
08/01/2018 17:00,0.605393678,0.52773168,0.012999805,0.027376403,1.398468756,2.330277305,0.037497263,0.002089187,1.146560685,0.537888546
08/01/2018 18:00,0.224504784,0.479844419,0.006178746,0.02717969,1.185933101,2.691292243,0.009414271,0.008464085,0.581054431,0.577729113
08/01/2018 19:00,0.246659331,0.462663115,0.008192296,0.034631224,1.351915646,2.593256814,0.009911482,0.00527888,0.659248727,0.547150402
