Month,L27,L28,L29,L30,L31,L32,L33,L34
05/01/2018 07:00,0.656105296,0.54882308,0.707708477,0.527964315,4.693334562,2.338087183,0.065215091,0.83774427
05/01/2018 08:00,0.587270673,0.802194857,0.944275326,1.585764472,3.809766248,2.019601256,0.15067744,0.433756866
05/01/2018 09:00,0.424274152,0.469135183,0.973795192,2.897202866,2.785314229,2.308255401,0.07742925,0.084537955
05/01/2018 10:00,0.531967522,0.427230013,1.219915315,0.653672522,2.894922783,2.753814041,0.082450023,0.217006692
05/01/2018 11:00,0.480045319,0.308055904,1.130118483,0.677958747,2.311000363,3.227065419,0.124662511,0.065061249
05/01/2018 12:00,0.419293823,0.406885269,1.138060313,0.213749705,2.466283989,2.80678514,0.11540089,0.099705403
05/01/2018 13:00,0.290652368,0.361217322,1.190239292,0.400813744,1.559942133,2.83879211,0.283713461,0.222368635
05/01/2018 14:00,0.49506824,0.387982774,1.115388671,0.767026031,2.784734771,3.435003554,0.270400838,0.205024516
05/01/2018 15:00,0.449076285,0.456471987,0.932004742,1.205554701,3.419906578,3.447843469,0.115302619,0.571193738
05/01/2018 16:00,0.327543707,0.493261827,1.027033456,0.977502391,3.814581171,3.166092004,0.167199446,0.969684557
05/01/2018 17:00,0.211621362,0.425133041,1.165147116,0.491063007,3.743628597,3.520600525,0.285757583,0.77770044
05/01/2018 18:00,0.276550723,0.504044972,1.132793931,1.221818278,3.788366041,4.912824047,0.089810333,0.703022161
05/01/2018 19:00,0.239804907,0.584298536,1.069534023,1.185134451,3.387082956,2.747419218,0.096626342,0.169509863
05/01/2018 20:00,0.346917906,1.328916577,0.858138412,1.579204253,3.406213467,3.590769647,0.087522538,0.141498028
05/01/2018 21:00,0.408604451,1.03126366,0.532970802,0.96583792,3.486996768,3.275647777,0.057100232,0.433311715
05/01/2018 22:00,0.284583963,0.809960218,0.558053204,1.174883924,3.28175075,2.804568542,0.087448407,0.666832095
05/01/2018 23:00,0.160954407,0.942498403,0.303526226,1.136424133,3.107653231,3.065954716,0.106416381,0.068410032
06/01/2018 00:00,0.253051398,0.456852534,0.408478087,0.743633535,3.032902491,3.322489226,0.234982659,0.182806613
06/01/2018 01:00,0.354256247,0.583097395,0.238263649,0.989453116,3.297973691,2.62849075,0.237874343,0.107835701
06/01/2018 02:00,0.469155205,0.653686484,0.280072442,1.358882818,3.577959606,2.643958077,0.07528044,0.190156214
06/01/2018 03:00,0.351358479,0.385714942,0.649478341,0.977695238,3.944690751,2.749849869,0.046373317,0.218046122
06/01/2018 04:00,0.370288463,0.364323584,0.764553158,0.678736998,3.755579192,3.819234982,0.187126358,0.114647978
06/01/2018 05:00,0.475814044,1.021869734,0.623809412,1.413026622,4.44186367,4.694139793,0.127047704,0.294778281
06/01/2018 06:00,0.498119459,1.461628581,0.578662368,1.269711124,4.564190302,3.16642325,0.138696221,0.418743939
06/01/2018 07:00,0.477101917,0.603965366,0.631103295,1.091915721,4.489333019,2.741848968,0.155144999,0.39098844
06/01/2018 08:00,0.71865661,0.322147682,1.311884184,1.385837511,4.364022615,2.599136102,0.105652025,0.058399277
06/01/2018 09:00,0.420517484,0.52123973,0.201475176,1.682148332,4.281248075,2.977684539,0.158770393,0.371930025
06/01/2018 10:00,0.298550285,0.508047758,0.179885191,1.445368933,3.4305847,2.668361274,0.12121964,0.586996004
06/01/2018 11:00,0.299934645,0.546722427,0.169497964,0.929521552,3.340907164,2.550900502,0.282225596,2.347316584
06/01/2018 12:00,0.561617752,0.856367973,0.199945975,1.287360377,2.862557487,3.002226632,0.189200631,0.485506345
06/01/2018 13:00,0.372909379,0.707770535,0.163590405,0.971113911,2.831136694,4.054356769,0.030360823,0.065390309
06/01/2018 14:00,0.470470569,0.481777228,0.189810122,1.128179887,2.768457805,4.01838785,0.031574184,0.07627084
06/01/2018 15:00,0.329820802,0.851663581,0.261177009,0.766425585,3.010993807,4.095173124,0.172715523,0.079192197
06/01/2018 16:00,0.238482692,0.611132128,0.217193034,2.684647962,3.046677549,4.03568478,0.191981962,0.220812572
06/01/2018 17:00,0.463021293,0.730664179,0.245424599,1.4727954,3.123211737,3.845110257,0.151501604,0.138719537
06/01/2018 18:00,0.480388699,0.684623357,0.495811533,0.605620296,2.500564572,2.854186434,0.081989508,0.1812757
06/01/2018 19:00,0.509574466,0.272627175,0.122418469,0.682079337,2.206194005,2.170137404,0.183130588,0.640028603
06/01/2018 20:00,0.678335532,0.349118175,0.838316456,1.686161019,3.005867324,2.98318129,0.124834669,1.47159437
06/01/2018 21:00,0.435738019,0.374562352,0.725390909,2.163356844,2.729264036,3.720327617,0.199471651,0.276070388
06/01/2018 22:00,0.299971369,0.537738953,0.672726173,1.159877157,2.295668441,2.921219629,0.136477277,0.07041143
06/01/2018 23:00,0.384078749,0.201628498,0.811710026,1.826832734,2.081599456,3.991416395,0.161858416,0.74191733
07/01/2018 00:00,0.411777849,0.22680784,0.7057392,1.610282648,2.516609229,4.857852312,0.181504768,0.425496792
07/01/2018 01:00,0.427017593,0.20377309,0.863748814,1.42102356,2.440435046,2.616493951,0.132683211,0.16600903
