Month,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26
03/01/2018 18:00,2.047801297,1.019282288,3.86957E-07,3.88485E-07,2.379730539,3.377572941,0.009613792,0.08128949,0.157094414,0.200127527,0.189347361,0.317989682
03/01/2018 19:00,1.927511172,2.029780554,3.83801E-07,3.85727E-07,2.068440471,3.190033357,0.007418639,0.06845805,0.142741873,0.10038583,0.161046684,0.370877518
03/01/2018 20:00,1.900424944,0.877969205,3.82151E-07,3.84354E-07,1.982984789,2.928213816,0.007314085,0.067683199,0.169790175,0.093705661,0.167810664,0.319711544
03/01/2018 21:00,1.823176949,1.744117554,3.83335E-07,3.83908E-07,2.054710772,2.984758696,0.010348054,0.066817468,0.203152363,0.102988928,0.172872165,0.27886684
03/01/2018 22:00,2.54164933,0.787256102,3.84622E-07,3.85393E-07,2.225160057,3.171620058,0.012693798,0.066824282,0.110363288,0.093740575,0.151810352,0.255501365
03/01/2018 23:00,2.421587053,0.566989711,3.8269E-07,3.83835E-07,2.383670696,2.533441702,0.009918256,0.04446394,0.114705579,0.084347589,0.132954796,0.333357502
04/01/2018 00:00,1.856423719,1.930200189,3.83024E-07,3.83607E-07,3.255195518,2.50517231,0.00517007,0.038746527,0.122552178,0.064750548,0.204851244,0.303375286
04/01/2018 01:00,1.49531679,0.295820054,4.15212E-07,4.15662E-07,3.047585826,2.273910221,0.007854361,0.023474363,0.124447128,0.122821791,0.340859762,0.228580454
04/01/2018 02:00,1.373839186,0.4132899,4.11262E-07,4.10943E-07,2.725506819,1.730747034,0.012041801,0.023830327,0.158298003,0.108283492,0.222256149,0.163082787
04/01/2018 03:00,0.837538816,0.28875381,3.96584E-07,3.95939E-07,2.43999621,1.621398336,0.004794604,0.023344379,0.067012694,0.099783928,0.181911814,0.162991449
04/01/2018 04:00,1.249628325,0.515988044,3.89329E-07,3.89949E-07,2.560920522,2.194427834,0.005281337,0.019512124,0.163145823,0.125259549,0.161648911,0.116465232
04/01/2018 05:00,1.094017597,0.500879042,3.9099E-07,3.91669E-07,2.323810291,3.323417917,0.011214742,0.013879033,0.159379322,0.212368588,0.136992087,0.154558794
04/01/2018 06:00,1.413643129,0.592093789,3.83017E-07,3.83077E-07,2.363304857,3.960204545,0.007061756,0.021777673,0.187391883,0.138184086,0.129658593,0.159702331
04/01/2018 07:00,1.189737667,0.303080458,3.83553E-07,3.84602E-07,1.748096284,2.473802495,0.011047643,0.012767514,0.204897631,0.101836934,0.137580025,0.149609149
04/01/2018 08:00,1.296047968,0.966753968,3.82893E-07,3.83128E-07,2.925184673,2.113518237,0.008679255,0.016177624,0.238985528,0.051505189,0.179498211,0.135134407
04/01/2018 09:00,1.698849964,0.255124085,3.82034E-07,3.83051E-07,1.886641025,2.776519675,0.005990844,0.014899034,0.205594681,0.045286894,0.216965127,0.120849763
04/01/2018 10:00,1.682468019,1.221013466,3.83302E-07,3.84674E-07,2.279363188,2.160052166,0.005486152,0.012719058,0.148889259,0.07917197,0.228159374,0.155551446
04/01/2018 11:00,2.23600482,2.159715829,3.82276E-07,3.8475E-07,1.820973918,2.084646172,0.007305518,0.016388967,0.164327711,0.232227178,0.278974871,0.192822169
04/01/2018 12:00,2.36835815,3.288500271,3.83078E-07,3.83548E-07,1.936726681,2.066960688,0.008269225,0.03109688,0.223600106,0.158100822,0.330346036,0.154845279
04/01/2018 13:00,2.957560839,1.684035752,3.83327E-07,3.84973E-07,1.831930782,2.252508951,0.007217423,0.028878239,0.428640198,0.162250914,0.331288892,0.182280174
04/01/2018 14:00,1.940337,0.907067241,3.83939E-07,3.85306E-07,1.566852036,3.754236203,0.013941178,0.046351156,0.222627082,0.171680233,0.261958596,0.156913651
04/01/2018 15:00,2.152698962,1.577239187,3.82218E-07,3.83292E-07,1.912191145,3.996891763,0.007987794,0.05190941,0.132340609,0.1694516,0.25397314,0.234005672
