Days,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34
02/01/2018 08:00,1870422555,2765262224,5356494.953,222428272.2,8376269609,5899028038,85828370.69,3159970.049,788817975.4,5835009208,9447027682,10761669964,5743062154,844808794.3,13788145299,5617484516,3826.962222,3850.64,16535879198,26073890154,53601947.59,120605572.6,783317219.2,1333470926,1339350345,1060814303,4998035348,2667265939,7882594473,2963149886,19975905923,27545164293,1563246762,5266875275
02/01/2018 09:00,1452275241,1678829421,11984783.42,229974122.1,8203443378,5462711565,82240434.36,2671100.559,1019127345,5906154073,8415276869,10079191202,5834380674,1047390377,9135244666,11138875857,3826.604444,3838.782222,17284135879,21940434122,52148696.16,170078106.4,397969752.6,1941759219,972266807.1,1627444385,2870870038,1733589621,4928754796,9398184929,14859510857,24579509928,1501875982,3405951237
02/01/2018 10:00,10857942555,1715112886,51954911.46,227520525.3,8657273985,7612888266,81146988.7,36143772.71,1002788198,6127446406,9875020920,20113000215,6015186827,933254362.9,11428229702,17178358193,3827.526667,3838.115556,16249063493,34280370557,47385530.51,153708015.9,646771884.2,1958262533,901301577.1,1503989709,4633339207,7922799939,5100055898,9264152578,25042485554,26388901313,1159102001,6674179551
02/01/2018 11:00,2236503948,1542066117,7626968.442,219625089.7,10380494046,7172545798,103033409.1,17516332.68,1081849054,5388028920,9615824154,13111427517,5487732438,856633423.4,8905719928,9176855640,3820.997778,3830.308889,15243492072,34281930345,78259215.76,247522930.6,1222422780,2585664072,1121140151,1260180995,4223180370,3654420223,3595493174,5336867777,22407319622,36100244850,801815361.3,6479493327
02/01/2018 12:00,2325211993,3032874372,3213899.823,218955547.8,8289068205,7457769166,81837927.93,18582140.89,874324629.3,4722161133,9360306560,10788482470,4566984973,959545400.4,11566386215,15179542732,3837.24,3844.251111,22995428183,50474797935,65703948.29,185325114.4,2223285304,2326128883,1276532886,1273207332,3775913265,8578624496,7227503085,6495922090,25519123689,49556310578,1253902101,7393149902
02/01/2018 13:00,5871367462,3015065785,14707571.15,224866229.5,7706858403,11110831969,88159319.32,6461016.969,977282221.3,6301519522,10691351627,13697877996,6104944804,761913963.3,10105243324,5331853392,3830.384444,3835.555556,24439581276,55369177208,111511010.6,258212034,974605398.3,2767744480,1183678260,1506443023,5852313025,3776358582,3860230292,1344742639,23658098051,49879437214,1850308511,1533246455
02/01/2018 14:00,3484443073,5361497855,29226477.48,240725615.3,8489952450,7049829947,111793451.5,12834343.61,1462800791,5374037468,12925265231,11597339991,5145329779,443513927,12792355212,2504778091,3834.933333,3849.92,19268536519,37084749264,102845387.1,487901109.4,1032306254,4205113718,1056685546,1216830905,5811601962,1798340027,5947805432,641242300.6,23117292220,41212690558,1805549037,2443544223
02/01/2018 15:00,2278688136,2166626435,33266227.89,271702514.1,7788355303,6517666557,122378299.6,17113500.15,2533707830,4951509937,10335187340,9203506892,4647230016,826777432.4,12336130276,7839996282,3843.68,3841.42,17889124902,24080180187,96535679.78,593678584.9,714456402.9,3926985324,1082965030,1447188872,4111030481,980643483.1,5907354991,6735363511,19010374912,26178912134,1966964652,2042612545
02/01/2018 16:00,2203685883,3072887254,48837402.32,264659960.1,8608685761,8628672673,113759687.3,36233516.78,2433019467,5121581817,14215863871,10618241673,5508117731,479378383.8,13702293629,8330239173,3831.508889,3844.746667,14763801151,26493799326,98545068.67,690244328.1,1566377399,2168054831,1189208479,1896732708,3677288973,1196979965,5964977288,7074497892,17512399585,29484695662,2537778088,2432978509
02/01/2018 17:00,1997724956,2827779795,99371341.07,280144406.8,9193269576,12134408735,162855512.3,34121980.25,3190209552,5190758078,18339803255,11043805943,5869476121,713909042.2,19182171587,12905926052,3820.597778,3846.853333,11778730590,23863901524,114835741.4,658019180.6,2842741577,2344065863,1924123917,1994091745,5185992971,1770896870,10462128696,11043206238,18753483865,23914012211,1135756581,1994265477
02/01/2018 18:00,1730642239,2720891842,54866903.8,265915416.9,10736493854,11365461571,64657937.99,22414728.75,3216076486,5250533591,17372856085,12513902029,5738813334,987639344.6,14974979879,17997418316,3825.228889,3840.284444,13798162079,33142097066,96769543.25,748859179.4,2606420599,1392892214,1734776105,1978219085,3860657487,6292721366,7046588608,11652875350,16760021537,30871167211,2161330032,2309382704
02/01/2018 19:00,1630157291,3126883145,70286792.74,268431364.2,14160582661,10201672752,0,0,3432948810,5338930456,15566585140,15674629930,5089696224,1495118208,16459454326,7123090963,3837.268889,3837.611111,15779115932,41921430334,77716544.47,654635110.3,1108695809,839447644.4,1131203475,2145895638,6648681212,2997960123,6034679102,4199787487,20059842202,38678782283,2188064460,3394416077
02/01/2018 20:00,10546309807,2322315906,48638942.21,269042072.6,15526790594,10406623959,0,0,3127561983,5503242870,14433942746,26123777529,5078208800,948708789.6,17759568206,5576888507,3822.686667,3843.555556,13481046782,45990946194,98239798.04,634730122.4,878920527.6,982895368.8,1237099960,1796419069,6012163076,2993927717,7936039668,2518418396,13824347383,33398573569,2075541541,1644880237
02/01/2018 21:00,1369481279,2539596487,68570589.28,278765054.4,16124198548,11276691619,0,0,3123166322,5106974528,15128834774,17694641485,4865317426,1013009180,24997097820,7296421712,3837.231111,3842.3,19925252142,40503314039,84502103.42,712300780.6,1927010956,2465062941,1060825552,1432103185,10566507916,4805747921,10599459898,2393805598,22580020691,37051795335,1717424758,14702407017
02/01/2018 22:00,1359994875,2040482748,121483768,273178561.8,20491297177,10609046910,0,0,3412175396,5258861001,14047368927,22097131430,4897836085,1484719692,17772866629,17139158192,3825.822222,3849.728889,24470079403,48585821966,65310610.34,711552410.1,632032200.1,1008389644,1375383173,1662397636,6071095586,10052637972,8603288758,7102356110,28381173899,34417823774,1044937170,6630930762
02/01/2018 23:00,1517194737,3244919632,70166162.54,256273743.6,18712715593,10125560218,0,0,2580916082,4803924836,14509197235,20233192003,4681932353,1129382796,15954955092,16311331456,3826.348889,3834.797778,25111047588,37742984544,55753891.46,435287152.1,669652568.1,2720109457,1020362730,1900564875,3558804313,6144244345,9012750886,10124762952,32963309431,30433318624,789603087.9,5243415699
03/01/2018 00:00,5978635320,2831282177,19637606.02,243276581.3,15701682606,16498526819,0,0,1522610850,4172620714,20191001109,21982629283,3931761408,826638157,10322111960,5297545223,3828.908475,3838.19209,18357581685,41678790290,41693675.59,271156551.2,745571947.3,707826072.3,1539879675,1623056830,1735515295,3594003289,4349858273,1528767612,22105609020,33110794664,1375912159,9247595566
03/01/2018 01:00,1462377300,2791152462,12335198.67,247007128.4,14083777953,10844700908,0,0,2031369637,5030359237,14293403815,15794788121,4995497898,1713831191,11405006663,12095577210,3833.973333,3829.744444,20113630841,35072264945,46793292.48,263262427.6,1279754896,748142548.5,1363865058,2076517103,2929714705,7516574419,5559212736,4468530985,24589644326,33168251555,479697223.8,2506675571
03/01/2018 02:00,1345226972,2650912385,7645762.846,240653520,10533827038,11750454449,0,0,2087196296,4834623001,14744876735,12344895614,4504288852,1586505114,10146640956,4753315990,3830.817778,3840.706667,19469665862,39295738291,123950125.6,159369582.3,3587610836,852660735.3,1197247365,1779689437,3218023586,3509758961,4513229632,1219766085,25350940116,37286875242,1498233704,3743516028
03/01/2018 03:00,1140446352,2986185027,9541603.533,234995153.6,12739246357,10699654433,0,0,1948134015,5222770318,13995745370,14233178766,4798770650,1691469063,7580004130,24170457675,3840.451111,3853.7,19338622965,41100523443,39231083.17,201597738.2,4481068200,1248608151,1172034233,1462681818,2368783409,13246249596,3214181674,10789053075,27397301889,39886116430,4096656256,5237929609
03/01/2018 04:00,1290692460,3936419448,7962513.451,224495377.7,12382764237,10776719739,0,0,1516591473,4716530108,14540802790,14184267501,4608504575,1623517663,12558556732,13844572363,3832.768889,3848.213333,18527795980,38672137248,42678478.48,284809507.4,1429431724,1185911218,1186582506,1369490041,4195963875,6131050156,6934089528,7530976490,24896889836,37295381849,5547391229,5730978656
03/01/2018 05:00,2254796203,4711436258,16681134.69,227432649.8,12802011016,11002124484,0,0,958942192,5123402020,15426239967,15262447576,4873436709,862619914.8,12284000553,14243799383,3825.148889,3846.562222,17255329290,35101572842,47363967.15,132234717.6,2168943453,1386698621,1110974865,1515187893,4374887011,4635147961,6177732809,9712782729,23497394007,30742023572,4251823101,5703998086
03/01/2018 06:00,1313917387,3549429984,15395022.37,234428968.6,14147101680,10081891898,0,0,923649905.6,4610659705,13598652562,15839719046,4469633837,932876133.4,7976325080,13300053104,3825.926667,3841.644444,20478591197,26589852267,50837580.31,151815690.1,1188974200,1086444797,773368977.1,1163298855,4195759347,4049316952,2506257856,9121331439,26334498682,25158112333,2413218671,2885343871
03/01/2018 07:00,1148219115,3124726818,16607020.6,232295026.9,13476271264,9391556666,0,0,2750847050,4549041906,12516592303,14755318695,4499040579,2813903355,10781601056,15704169727,3823.124444,3831.224444,16588243830,24260179757,50181753.25,280193003.3,321860772.6,824945251.6,969856404.4,1291214885,5628573298,4562884043,3775755591,11045119864,22030014604,20267380646,2810621791,3454048748
03/01/2018 08:00,1540365714,3272549229,7818162.352,230410275.2,12286897972,7980237619,0,0,2285503983,4707422529,10784512275,14429973020,4376778356,2179636990,14488182445,9424976954,3826.073333,3832.417778,13937715203,31227016064,46561617.71,131206271.6,554119546.8,1550704496,904591678.1,1074129557,5080421376,5711529926,7637942724,3629445583,18692530654,30011628465,3014944429,1739786404
03/01/2018 09:00,1178817737,3314574430,53057046.96,229435054.3,10732699962,7781275488,0,0,1050055745,4431170137,11370562526,12175297516,4222250938,816467289.4,13639617134,22120860198,3827.408889,3819.517778,16866432417,25534002552,41410527.46,124575747.1,214415819.7,2283934049,1353167380,1066311717,3111001007,3189397549,6049039896,18824505877,17844183702,24949711411,3248265071,1391563305
03/01/2018 10:00,976205735.9,2445006715,52659832.5,228898355.1,11724211426,11395285459,0,0,674456717.2,4290192912,13673506403,12798852297,4173970454,652041538.2,17650280045,18699733190,3824.948889,3834.202222,35559994785,29017076555,28816003.77,137815984.4,929533465.1,1648162498,1100824245,1297554213,1866342126,6035493632,9601604119,12621697743,46461041145,26873580498,2534186030,4104169601
03/01/2018 11:00,1113051453,1908958095,5199205.978,239565067.7,10096806350,14496614207,0,0,895414618.2,5596326272,16442644253,11481483682,5337827749,948234783.9,18822378678,21100263373,3830.897778,3837.031111,36516368965,30544958984,40844242,223491073.2,1401288738,3231622507,1358111671,3835620951,4614511187,7322716668,7741112822,13629518439,39543427991,32522541018,1061826149,1984458539
03/01/2018 12:00,6986188512,2192164287,6764849.363,231593454,10662776566,13522712837,0,0,1195135260,6200195144,16038145296,18218381130,5967106840,1332752202,16592541230,14796226428,3817.635556,3839.14,32189331262,39497488137,40370331.11,214315035.6,1031886317,4753787450,1296542873,4120751484,2212306602,8146590152,9655776594,6581757178,42135545640,29837697348,1855723872,2625197338
03/01/2018 13:00,1139700752,2204803761,17107545.04,234002173.4,10780272855,8158987304,0,0,1354842227,5780753952,10662617776,12109713151,5674449454,1076546990,17446682321,15326994888,3823.3,3825.611111,29447963417,28771209097,102536172.8,297161412.6,632380414.2,2706180056,1335790220,4061522511,4201220608,4159374942,8945473165,11028240603,36760888864,27090188402,2662143849,3447110196
03/01/2018 14:00,1255204649,1799282248,50654553.82,264434838.3,10225646258,8967072243,0,0,1641585909,5598568576,11249027494,11555292013,5265535668,977417459,21299396715,18231780977,3811.968889,3837.197778,27042562893,27631617490,97634017.71,385785162.4,1080203066,1698259966,1434942010,3557021186,7337358442,5154419636,10305549710,12935371121,36858398049,27031914966,3404141054,3064035973
03/01/2018 15:00,1093298103,2699133266,54041142.4,252558418.1,10119451204,7008270956,0,0,2458062783,5605133958,10668687164,11270224069,5443958080,998597082.9,23135824290,21765017322,3836.893333,3840.613333,19706466363,32424297500,101832365.5,555151159.8,1161404035,1108271736,1592989601,3696717920,8979042755,4788854276,9625237556,16957712877,23879899735,24593475538,1231724179,1681791335
03/01/2018 16:00,1385779060,2376831302,31244555.08,225710912.5,12662356407,7902148452,0,0,5092711430,5418749198,12548761443,14552313270,5472428806,4176849111,22048596703,41036570255,3921.008889,3923.831111,20433968709,28508018197,277973970.3,748197420.2,1608755924,1095710662,1707080190,3862053445,8810195217,5265636763,8066511926,35727564464,24804994278,25717902281,364046800.8,2889337592
03/01/2018 17:00,1338312439,2290044910,90707476.41,271806827.1,11127352273,8058758105,0,0,1932290614,4905082021,11724430627,12341656662,4786110697,1994582028,21302258551,11978277333,3813.284444,3828.286667,23446182008,30344470869,108508904.6,772016137.6,1556666908,1129059582,3149545323,4129247866,8653174322,5934008266,8138630328,5957706464,28855079574,27018456127,604765972.8,3294263859
03/01/2018 18:00,1132199973,2250843595,67834196.63,280241981.1,12030321643,8210327433,11222492.16,44297620.11,2426552708,1691629288,12058519017,13124122106,1676608395,925496519.5,20478012971,10192822879,3869.568889,3884.846667,23797305387,33775729408,96137917.55,812894896.5,1570944137,2001275270,1893473610,3179896825,8322654736,2271996751,8140702553,7665357417,28251489648,29763225027,764741530.1,3592890365
03/01/2018 19:00,1357774060,1578407872,73569270.93,297614590.7,11170635247,8503271589,101847741.6,17956575.49,2328524345,1776487036,11980506900,12439056649,1947897271,662878755.5,19275111719,20297805540,3838.006667,3857.273333,20684404711,31900333571,74186391.85,684580501.3,1427418729,1003858299,1610466839,3708775175,6058110862,5721376108,9174994273,14165963349,25502221152,31199938208,775723935,2367406853
03/01/2018 20:00,1229036666,1408389778,59747334.7,299513298.9,9371991387,8737407431,155648495.4,14523507.33,2566559323,2553214185,11778293390,11070313279,2656035544,796397130,19004249441,8779692046,3821.508889,3843.544444,19829847892,29282138157,73140848.97,676831986.3,1697901754,937056608.1,1678106638,3197115436,4495320044,1618509658,8930284478,7096265727,27383158983,29949122773,637083248.3,2816049789
03/01/2018 21:00,2566602537,1469432922,66727768.97,330534001.2,10417497528,15061717170,129010712.2,21428648.86,2610585789,4967093639,17936004636,12908264045,5105641872,1156891186,18231769490,17441175537,3833.348889,3839.077778,20547107722,29847586963,103480536.8,668174684.3,2031523634,1029889276,1728721654,2788668400,5741087859,5523837229,6613236204,11560717533,26149401325,25163441820,856439686.8,10262431739
