Month,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34
09/06/2018 06:00,0.18776675,0.147408536,0.00219359,0.028378498,0.848771812,2.201738692,0.011635708,0.000457416,0.160426391,0.19312571,2.558566089,1.145672342,0.178890662,0.157875218,0.118185518,0.511035881,1.445483056,1.741547299,1.16194986,1.320500671,0.068892307,0.013182386,0.176043508,0.07789276,0.082921695,0.096718512,0.054062117,0.468065485,1.40365E-06,1.59539E-06,3.218643349,2.409512831,0.005118904,0.012791062
09/06/2018 07:00,0.21370284,0.178448779,0.003663083,0.030560416,0.526865164,2.161527866,0.013619301,0.000434006,0.146593234,0.177532453,2.563342326,0.81705195,0.189425857,0.113106776,0.468106313,0.323905531,1.588260133,1.858283309,1.214090877,1.329179831,0.050390434,0.01663551,0.222547706,0.044378817,0.083011309,0.072396349,0.413725202,0.293840138,1.40998E-06,1.59106E-06,3.28495089,2.629580448,0.002968819,0.017734027
09/06/2018 08:00,0.371663775,0.219671079,0.001597882,0.024754595,0.553666402,2.164523878,0.012417254,0.000403405,0.14449798,0.225557326,2.599887426,1.022783528,0.213005509,0.153617825,0.264661903,0.581450823,1.997709658,1.43201037,1.082597394,1.241052453,0.028252446,0.017444465,0.245364588,0.093563683,0.107282174,0.080135352,0.206121381,0.531161696,1.40748E-06,1.59571E-06,2.841006743,3.140811177,0.001695576,0.012915544
09/06/2018 09:00,0.264640752,0.160547844,0.001286291,0.025028741,0.694768211,2.863290043,0.012683327,0.005920311,0.178440304,0.255600518,3.281639648,1.032361816,0.225826605,0.184595271,0.22790967,0.328998551,1.867725968,1.598224166,1.576999754,1.055470833,0.005105198,0.017674536,0.245383297,0.170371083,0.102471838,0.118740334,0.149141429,0.296310677,1.41681E-06,1.60275E-06,3.278447478,3.282289079,0.002617207,0.059201401
09/06/2018 10:00,0.325504931,0.291950251,0.001759241,0.032999516,0.508872139,2.737350495,0.012982911,0.005929952,0.139193662,0.250030626,3.235214316,0.910024778,0.233061572,0.124488549,0.119052015,0.364460791,1.259243968,1.893292448,1.301482742,1.085710078,0.016612842,0.019402828,0.197713062,0.079105988,0.074551471,0.10156719,0.063346811,0.322797879,6.47832E-06,0.003669579,3.255455961,2.374029442,0.006122501,0.025116751
09/06/2018 11:00,0.234608127,0.286139262,0.015826053,0.030928437,0.520721721,2.050617821,0.021968704,0.003419053,0.16367362,0.295056402,2.537191669,0.798142871,0.259504787,0.171134865,0.098752486,0.258559167,1.284447248,1.662655009,1.310074819,1.193755631,0.005642106,0.022959944,0.177617369,0.047479968,0.126064293,0.103004969,0.060359379,0.207999771,0.005396564,8.06605E-06,3.185453494,2.407289781,0.003042207,0.017929965
09/06/2018 12:00,0.180694117,0.095487623,0.001185283,0.024723661,0.805244539,2.211721263,0.012798971,0.002579227,0.154345543,0.303366268,2.502471153,0.986260825,0.303167273,0.132544061,0.187698444,0.49891624,1.542756195,1.482196623,1.268523065,1.21540059,0.00487404,0.025415259,0.237864183,0.254778473,0.101407624,0.086610385,0.141766914,0.422485434,1.41782E-06,1.59029E-06,3.169723165,2.946517408,0.002090585,0.016102429
09/06/2018 13:00,0.247252376,0.102308762,0.001830238,0.029045915,0.490335969,2.027855357,0.016728384,0.00050508,0.192998091,0.253262373,2.284148279,0.762512416,0.236074975,0.17342956,0.181379379,0.411243391,2.325946883,1.061486345,1.037739516,1.010756222,0.012810461,0.012970136,0.21781501,0.343694353,0.095066405,0.096606732,0.1076704,0.34677981,1.39739E-06,1.58734E-06,2.803420468,3.880542013,0.00243175,0.015543295
09/06/2018 14:00,0.16343937,0.148759086,0.003849285,0.030980079,0.786756712,1.987684938,0.012399237,0.000506672,0.167997758,0.233157861,2.26129658,1.0178188,0.221984217,0.163859596,0.476212228,0.339073824,2.266685195,1.439123872,1.153839405,1.089536605,0.004737211,0.017611257,0.258838424,0.134652081,0.099668593,0.106924825,0.410541813,0.290118865,5.17671E-06,0.00302266,3.313294745,3.631731174,0.002288254,0.038035303
09/06/2018 15:00,0.19092948,0.069272169,0.005578035,0.030154304,0.551270871,1.301496237,0.012183761,0.00055746,0.150684302,0.243280604,1.523829418,0.762866291,0.195588264,0.148003684,0.363044995,1.077463543,2.992245796,1.307893307,0.902732933,1.308296459,0.011553872,0.025558133,0.200493596,0.125572755,0.113289019,0.072916112,0.306015495,1.034527259,0.005399234,0.002373588,2.994465167,4.280091681,0.002304591,0.006385742
09/06/2018 16:00,0.264333536,0.095487197,0.001858717,0.024319434,0.537152342,1.391214615,0.014266785,0.011714913,0.143687298,0.242575864,1.609514607,0.851166812,0.22094193,0.137154744,0.491997888,0.875873833,1.51863166,1.406036349,0.887186352,1.188557767,0.006335584,0.04321241,0.256764061,0.319136289,0.09222445,0.081336281,0.467587924,0.807122502,1.40245E-06,1.5983E-06,3.138994672,3.155553721,0.002052987,0.009916255
09/06/2018 17:00,0.21340643,0.084032403,0.002257691,0.025174796,0.566665794,1.508585726,0.015263324,0.005769796,0.17730534,0.187420288,1.773393382,0.823787318,0.127928911,0.147191521,0.680728054,1.253432552,1.358276259,1.412028872,0.858088574,1.262168578,0.017556888,0.021817266,0.354636853,0.23897108,0.090500509,0.046740065,0.636484499,1.2387025,1.40708E-06,1.59359E-06,3.630099808,3.088626907,0.002054692,0.004043804
09/06/2018 18:00,0.157539273,0.246022367,0.002382282,0.026267277,0.524935669,2.439681704,0.011336018,0.000583029,0.163548982,0.218380236,2.830504237,0.75205783,0.190963864,0.168133465,0.648341976,0.481398143,1.23862506,1.489873658,0.923699726,1.187636911,0.017992501,0.019069179,0.299323909,0.205064928,0.138827415,0.095203532,0.621338541,0.443778298,1.43723E-06,1.62935E-06,3.968756875,2.797603379,0.003250654,0.004273377
09/06/2018 19:00,0.172156051,0.14275542,0.004136486,0.023510332,0.521312193,2.331650106,0.016099588,0.002666398,0.174993622,0.21849465,2.614226914,0.727102046,0.176196758,0.161136954,0.27900299,0.235104545,1.239016952,1.081922507,0.938924537,1.19553608,0.008291307,0.026277426,0.183827877,0.177360942,0.114079952,0.083720205,0.208700809,0.175709372,1.40594E-06,1.59149E-06,3.082902938,2.277040916,0.007071686,0.003368008
09/06/2018 20:00,0.145062418,0.072170632,0.001829335,0.024766307,0.459921492,2.160462155,0.012207653,0.006062074,0.167305082,0.291683931,2.40685807,0.625959853,0.273643994,0.151775312,0.332307854,0.720505101,1.591415819,1.013340702,0.883327798,1.018961761,0.007763014,0.046149874,0.22985517,0.151522747,0.131301756,0.13607849,0.302174724,0.675175135,1.41036E-06,1.59826E-06,2.807244887,2.567025661,0.002387899,0.036876142
